objectID,date,old_date,weekday,unixtimestamp,batch,contents,sender,senderimgurl,textimgurl,notes
9984203,12/16/16 8:20 PM,2016-12-16 20:20:28,Friday,1481919628,DCNF,Talked with [redacted] follow up first thing Mon,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-01.png,null
9940451,12/18/16 9:11 AM,2016-12-18 09:11:46,Sunday,1482052306,DCNF,There is no way he goes to london and it doesn't come up.,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-02.png,null
9905762,1/3/17 6:58 PM,2017-01-03 18:58:07,Tuesday,1483469887,DCNF,"Forgot one thing I wanted to mention - CG is having a briefing to the US Atty on Fri. I think Bill got us invited via SAC, at least for the firat 10 mimutes, we want to frame the case in the context of everything. Wanted to [garbled text]",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-03.png,null
9275148,1/3/17 7:20 PM,2017-01-03 19:20:35,Tuesday,1483471235,DCNF,Well sh*t. Sorry Also ran into Andy in the garage. Sometimes I'm so God damn stupid awkward it's embarrassing. It kills me.,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-04.png,null
9274741,1/3/17 7:38 PM,2017-01-03 19:38:53,Tuesday,1483472333,DCNF,"Why, what happened?",Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-05.png,null
9274732,1/3/17 8:03 PM,2017-01-03 20:03:21,Tuesday,1483473801,DCNF,To andy,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-06.png,null
9131042,1/3/17 8:03 PM,2017-01-05 11:57:52,Tuesday,1483617472,DCNF,"Just called your desk. Sorry, crazy morning.",Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-07.png,null
8847604,1/5/17 11:58 AM,2017-01-05 11:58:29,Thursday,1483617509,DCNF,K. Walking back call you in 30 sec,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-08.png,null
8723085,1/11/17 8:28 AM,2017-01-11 08:28:00,Wednesday,1484123280,DCNF,I can obviously talk if you want,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-09.png,null
8614169,1/11/17 8:52 AM,2017-01-11 08:52:00,Wednesday,1484124720,DCNF,Ok I am inexplicably f*king waiting to get into the building,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-10.png,null
8610161,1/13/17 12:00 AM,2017-01-13 00:00:54,Friday,1484265654,DCNF,"Just talked to Agency, can I talk to you Andy Jim?",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-11.png,null
8524004,1/13/17 9:17 PM,2017-01-13 21:17:00,Friday,1484342220,DCNF,Wrong!,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-12.png,null
8508064,1/13/17 9:18 PM,2017-01-13 21:18:00,Friday,1484342280,DCNF,Ok Donald,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-13.png,null
8507993,1/14/17 9:11 AM,2017-01-14 09:11:00,Saturday,1484385060,DCNF,"Btw, see email. Team.",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796175/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536795466/all_messages_split_to_14000_4_content_only-00-14.png,null
